t,90,81,14
t,77,33,300
t,77,63,315
t,77,22,379
t,77,41,262
t,77,38,263
t,77,96,311
t,77,66,549
t,77,86,528
t,77,39,1372
t,77,5,1396
t,77,90,1548
t,77,6,1162
t,77,80,1192
t,77,21,1054
t,0,60,68
t,72,8,31
t,31,75,79
t,40,83,65
t,19,61,57
t,38,77,57
t,85,52,63
t,98,63,43
t,90,85,16
t,43,86,28
t,62,10,37
t,92,94,64
t,71,34,99
t,87,5,60
t,43,96,41
t,9,86,19
t,65,23,23
t,79,21,86
t,73,11,24
t,88,54,10
t,16,17,72
t,52,61,66
t,67,32,52
t,65,72,58
t,25,67,6
t,17,76,44
t,35,93,67
t,9,72,88
t,95,97,100
t,18,86,6
t,79,54,23
t,2,6,85
t,68,25,69
t,71,90,41
t,80,67,9
t,37,85,37
t,80,20,31
t,46,30,55
t,34,77,53
t,85,47,91
t,90,78,45
t,65,80,3
t,1,0,28
t,69,72,18
t,62,4,86
t,22,42,71
t,10,22,43
t,40,69,25
t,47,55,54
t,99,40,1
t,89,30,79
t,33,95,12
t,35,96,12
t,14,18,84
t,31,32,89
t,68,54,83
t,90,64,5
t,33,57,26
t,9,4,33
t,15,55,73
t,15,96,56
t,46,81,3
t,57,16,52
t,68,82,22
t,4,13,54
t,44,34,60
t,26,24,76
t,82,9,33
t,60,19,89
t,92,86,44
t,17,1,92
t,72,99,73
t,26,8,41
t,29,22,51
t,85,88,4
t,81,22,15
t,59,46,91
t,41,56,23
t,1,27,64
t,94,13,7
t,63,66,51
t,35,18,23
t,13,78,64
t,43,59,38
t,45,44,26
t,1,25,48
t,15,84,47
t,5,78,55
t,80,31,82
t,43,25,47
t,1,88,65
t,51,75,35
t,26,41,14
t,41,36,73
t,78,81,70
t,56,82,47
t,3,50,32
t,1,55,62
t,55,35,93
t,88,30,71
t,86,32,11
t,51,83,39
t,85,61,32
t,50,2,68
t,75,81,49
t,44,37,84
t,90,92,34
t,73,94,41
t,34,49,29
t,79,90,59
t,49,76,91
t,11,79,27
t,49,17,88
t,80,67,91
t,99,42,24
t,0,38,13
t,35,29,5
t,68,54,51
t,60,41,53
t,88,20,43
t,99,21,19
t,41,32,51
t,19,34,68
t,59,66,35
t,1,18,30
t,24,18,68
t,36,53,49
t,92,73,4
t,43,33,97
t,95,74,17
t,37,73,90
t,7,66,74
t,57,86,8
t,76,45,27
t,11,46,45
t,92,22,15
t,11,10,68
t,12,2,93
t,67,45,78
t,63,92,52
t,79,81,77
t,20,89,96
t,93,98,82
t,53,75,79
t,79,38,25
t,75,82,47
t,41,93,57
t,8,5,11
t,52,24,57
t,29,87,1
t,33,18,83
t,9,38,24
t,4,32,22
t,37,85,49
t,15,16,39
t,91,43,21
t,89,84,67
t,45,44,24
t,8,96,49
t,16,25,36
t,16,58,7
t,98,20,45
t,21,76,29
t,95,66,14
t,43,81,82
t,34,73,25
t,54,62,61
t,20,60,5
t,44,20,53
t,44,36,79
t,79,52,89
t,85,51,61
t,82,72,90
t,10,19,8
t,76,63,89
t,9,49,14
t,86,3,29
t,46,76,41
t,3,72,61
t,55,16,49
t,85,47,1
t,26,85,4
t,86,67,29
t,27,29,48
t,34,5,63
